UF;NOME DO MUNICÍPIO;country;population;ibgeID
SC;Armazém;Brazil;8674;4201505
CE;Arneiroz;Brazil;7840;2301505
PI;Aroazes;Brazil;5835;2200905
PB;Aroeiras;Brazil;19153;2501302
PI;Aroeiras do Itaim;Brazil;2551;2200954
PI;Arraial;Brazil;4727;2201002
RJ;Arraial do Cabo;Brazil;30349;3300258
TO;Arraias;Brazil;10567;1702406
RS;Arroio do Meio;Brazil;20805;4301008
RS;Arroio do Padre;Brazil;2937;4301073
RS;Arroio do Sal;Brazil;10065;4301057
RS;Arroio do Tigre;Brazil;13373;4301206
RS;Arroio dos Ratos;Brazil;14151;4301107
RS;Arroio Grande;Brazil;18293;4301305
SC;Arroio Trinta;Brazil;3550;4201604
SP;Artur Nogueira;Brazil;54408;3503802
GO;Aruanã;Brazil;9875;5202502
SP;Arujá;Brazil;89824;3503901
SC;Arvoredo;Brazil;2240;4201653
RS;Arvorezinha;Brazil;10424;4301404
SC;Ascurra;Brazil;7934;4201703
SP;Aspásia;Brazil;1822;3503950
PR;Assaí;Brazil;15119;4101903
CE;Assaré;Brazil;23417;2301604
SP;Assis;Brazil;104386;3504008
AC;Assis Brasil;Brazil;7417;1200054
PR;Assis Chateaubriand;Brazil;33362;4102000
PB;Assunção;Brazil;3990;2501351
PI;Assunção do Piauí;Brazil;7846;2201051
MG;Astolfo Dutra;Brazil;14179;3104601
PR;Astorga;Brazil;26111;4102109
AL;Atalaia;Brazil;47185;2700409
PR;Atalaia;Brazil;3892;4102208
AM;Atalaia do Norte;Brazil;19921;1300201
SC;Atalanta;Brazil;3210;4201802
MG;Ataléia;Brazil;12868;3104700
SP;Atibaia;Brazil;142761;3504107
ES;Atilio Vivacqua;Brazil;11936;3200706
TO;Augustinópolis;Brazil;18412;1702554
PA;Augusto Corrêa;Brazil;45998;1500909
MG;Augusto de Lima;Brazil;4869;3104809
RS;Augusto Pestana;Brazil;6661;4301503
RN;Augusto Severo;Brazil;9655;2401305
RS;Áurea;Brazil;3554;4301552
BA;Aurelino Leal;Brazil;11531;2902401
SP;Auriflama;Brazil;15189;3504206
GO;Aurilândia;Brazil;3120;5202601
CE;Aurora;Brazil;24654;2301703
SC;Aurora;Brazil;5679;4201901
PA;Aurora do Pará;Brazil;31338;1500958
TO;Aurora do Tocantins;Brazil;3757;1702703
AM;Autazes;Brazil;39565;1300300
SP;Avaí;Brazil;5403;3504305
SP;Avanhandava;Brazil;13649;3504404
SP;Avaré;Brazil;90655;3504503
PA;Aveiro;Brazil;16388;1501006
PI;Avelino Lopes;Brazil;11289;2201101
GO;Avelinópolis;Brazil;2417;5202809
MA;Axixá;Brazil;12130;2101103
TO;Axixá do Tocantins;Brazil;9756;1702901
TO;Babaçulândia;Brazil;10664;1703008
MA;Bacabal;Brazil;104949;2101202
MA;Bacabeira;Brazil;17055;2101251
MA;Bacuri;Brazil;18582;2101301
MA;Bacurituba;Brazil;5644;2101350
SP;Bady Bassitt;Brazil;17502;3504602
MG;Baependi;Brazil;19148;3104908
RS;Bagé;Brazil;121143;4301602
PA;Bagre;Brazil;30673;1501105
PB;Baía da Traição;Brazil;8993;2501401
RN;Baía Formosa;Brazil;9271;2401404
BA;Baianópolis;Brazil;13877;2902500
PA;Baião;Brazil;47446;1501204
BA;Baixa Grande;Brazil;20468;2902609
PI;Baixa Grande do Ribeiro;Brazil;11586;2201150
CE;Baixio;Brazil;6288;2301802
ES;Baixo Guandu;Brazil;30998;3200805
SP;Balbinos;Brazil;5735;3504701
MG;Baldim;Brazil;7826;3105004
